,accuracy,lr
919,0.7897,0.001
920,0.7967,0.001
921,0.7982,0.001
922,0.7962,0.001
923,0.798,0.001
924,0.7972,0.001
925,0.7985,0.001
926,0.7969,0.001
927,0.788,0.001
928,0.7969,0.001
929,0.794,0.001
930,0.7968,0.001
931,0.7998,0.001
932,0.7909,0.001
933,0.7953,0.001
934,0.791,0.001
935,0.7915,0.001
936,0.7899,0.001
937,0.7912,0.001
938,0.7918,0.001
939,0.7961,0.001
940,0.7931,0.001
941,0.7925,0.001
942,0.7994,0.001
943,0.7981,0.001
944,0.7969,0.001
945,0.7966,0.001
946,0.7946,0.001
947,0.7954,0.001
948,0.7967,0.001
949,0.7958,0.001
950,0.7915,0.001
951,0.7947,0.001
952,0.7854,0.001
953,0.7927,0.001
954,0.7956,0.001
955,0.7969,0.001
956,0.7916,0.001
957,0.7907,0.001
958,0.7892,0.001
959,0.7937,0.001
960,0.7951,0.001
961,0.7971,0.001
962,0.7903,0.001
963,0.7873,0.001
964,0.7913,0.001
965,0.7907,0.001
966,0.7937,0.001
967,0.796,0.001
968,0.7949,0.001
969,0.7917,0.001
970,0.7932,0.001
971,0.7909,0.001
972,0.7959,0.001
973,0.7939,0.001
974,0.7908,0.001
975,0.793,0.001
976,0.7948,0.001
977,0.7951,0.001
978,0.7866,0.001
979,0.7967,0.001
980,0.7915,0.001
981,0.7883,0.001
982,0.7899,0.001
983,0.7952,0.001
984,0.7978,0.001
985,0.7983,0.001
986,0.799,0.001
987,0.7983,0.001
988,0.7981,0.001
989,0.7982,0.001
990,0.7985,0.001
991,0.7996,0.001
992,0.7983,0.001
993,0.7991,0.001
994,0.7993,0.001
995,0.7951,0.001
996,0.7889,0.001
997,0.7974,0.001
998,0.8022,0.001
999,0.8002,0.001
