,accuracy,lr
835,0.7761,0.001
836,0.7736,0.001
837,0.775,0.001
838,0.7751,0.001
839,0.7805,0.001
840,0.7821,0.001
841,0.7814,0.001
842,0.7826,0.001
843,0.7834,0.001
844,0.7837,0.001
845,0.7842,0.001
846,0.7852,0.001
847,0.7845,0.001
848,0.785,0.001
849,0.7848,0.001
850,0.785,0.001
851,0.7847,0.001
852,0.7857,0.001
853,0.7855,0.001
854,0.7866,0.001
855,0.7847,0.001
856,0.7854,0.001
857,0.7859,0.001
858,0.785,0.001
859,0.7851,0.001
860,0.7855,0.001
861,0.7844,0.001
862,0.7869,0.001
863,0.7849,0.001
864,0.7851,0.001
865,0.7856,0.001
866,0.7852,0.001
867,0.7873,0.001
868,0.7859,0.001
869,0.7862,0.001
870,0.7855,0.001
871,0.7858,0.001
872,0.7861,0.001
873,0.7864,0.001
874,0.7854,0.001
875,0.7866,0.001
876,0.787,0.001
877,0.786,0.001
878,0.7856,0.001
879,0.7867,0.001
880,0.7861,0.001
881,0.7864,0.001
882,0.7864,0.001
883,0.786,0.001
884,0.7874,0.001
885,0.7874,0.001
886,0.7862,0.001
887,0.7877,0.001
888,0.7866,0.001
889,0.7867,0.001
890,0.7873,0.001
891,0.7874,0.001
892,0.7864,0.001
893,0.7862,0.001
894,0.7878,0.001
895,0.7868,0.001
896,0.7798,0.001
897,0.7697,0.001
898,0.7845,0.001
899,0.788,0.001
900,0.7887,0.0001
901,0.7891,0.0002
902,0.7915,0.00030000000000000003
903,0.7885,0.0004
904,0.7868,0.0005
905,0.7875,0.0006000000000000001
906,0.7874,0.0007000000000000001
907,0.7892,0.0008
908,0.7877,0.0009
909,0.7906,0.001
910,0.7893,0.001
911,0.7908,0.001
912,0.778,0.001
913,0.7816,0.001
914,0.7904,0.001
915,0.7896,0.001
916,0.7918,0.001
917,0.7915,0.001
918,0.7895,0.001
919,0.7818,0.001
920,0.783,0.001
921,0.7854,0.001
922,0.7878,0.001
923,0.7823,0.001
924,0.785,0.001
925,0.7847,0.001
926,0.785,0.001
927,0.7868,0.001
928,0.7862,0.001
929,0.7887,0.001
930,0.7854,0.001
931,0.7822,0.001
932,0.7849,0.001
933,0.7861,0.001
934,0.7831,0.001
935,0.7899,0.001
936,0.7909,0.001
937,0.7905,0.001
938,0.7877,0.001
939,0.7813,0.001
940,0.7828,0.001
941,0.7889,0.001
942,0.7897,0.001
943,0.7902,0.001
944,0.7911,0.001
945,0.7916,0.001
946,0.7925,0.001
947,0.7915,0.001
948,0.7934,0.001
949,0.7927,0.001
950,0.7941,0.001
951,0.7933,0.001
952,0.7939,0.001
953,0.7942,0.001
954,0.7938,0.001
955,0.795,0.001
956,0.7942,0.001
957,0.793,0.001
958,0.7938,0.001
959,0.7952,0.001
960,0.795,0.001
961,0.7952,0.001
962,0.7948,0.001
963,0.794,0.001
964,0.7949,0.001
965,0.7963,0.001
966,0.7946,0.001
967,0.7385,0.001
968,0.7874,0.001
969,0.7885,0.001
970,0.7925,0.001
971,0.7941,0.001
972,0.7931,0.001
973,0.7913,0.001
974,0.7929,0.001
975,0.7797,0.001
976,0.7809,0.001
977,0.7912,0.001
978,0.7878,0.001
979,0.7952,0.001
980,0.7934,0.001
981,0.7942,0.001
982,0.7962,0.001
983,0.7959,0.001
984,0.796,0.001
985,0.7961,0.001
986,0.7979,0.001
987,0.7957,0.001
988,0.7975,0.001
989,0.7966,0.001
990,0.7988,0.001
991,0.7985,0.001
992,0.7979,0.001
993,0.7968,0.001
994,0.7954,0.001
995,0.7955,0.001
996,0.7962,0.001
997,0.7969,0.001
998,0.7961,0.001
999,0.7978,0.001
