wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run drv4x0sx
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260707_181446-drv4x0sx
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.5_pruning_ratio_0.5_delta_t_8
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/drv4x0sx
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: set
sparsity: 0.5
num_mask_updates: 10000
t_end_ratio: 0.8
pruning_ratio: 0.5
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] set | sparsity=0.5 | total_steps=108000 | t_end=86400 | delta_t=8

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:06<03:07,  2.54s/it, acc=0.957, lr=0.001, test_acc=0.494]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:08<03:07,  2.54s/it, acc=0.957, lr=0.001, test_acc=0.546]
Iter 0 | Epoch 26:  27%|██▋       | 27/100 [01:08<03:04,  2.52s/it, acc=0.957, lr=0.001, test_acc=0.546]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:08<03:04,  2.52s/it, acc=0.957, lr=0.001, test_acc=0.546]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:11<03:04,  2.52s/it, acc=0.948, lr=0.001, test_acc=0.577]
Iter 0 | Epoch 27:  28%|██▊       | 28/100 [01:11<03:02,  2.54s/it, acc=0.948, lr=0.001, test_acc=0.577]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:11<03:02,  2.54s/it, acc=0.948, lr=0.001, test_acc=0.577]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:13<03:02,  2.54s/it, acc=0.961, lr=0.001, test_acc=0.534]
Iter 0 | Epoch 28:  29%|██▉       | 29/100 [01:13<02:59,  2.53s/it, acc=0.961, lr=0.001, test_acc=0.534]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:13<02:59,  2.53s/it, acc=0.961, lr=0.001, test_acc=0.534]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:16<02:59,  2.53s/it, acc=0.966, lr=0.001, test_acc=0.539]
Iter 0 | Epoch 29:  30%|███       | 30/100 [01:16<02:57,  2.54s/it, acc=0.966, lr=0.001, test_acc=0.539]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:16<02:57,  2.54s/it, acc=0.966, lr=0.001, test_acc=0.539]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:18<02:57,  2.54s/it, acc=0.965, lr=0.001, test_acc=0.555]
Iter 0 | Epoch 30:  31%|███       | 31/100 [01:18<02:54,  2.53s/it, acc=0.965, lr=0.001, test_acc=0.555]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:18<02:54,  2.53s/it, acc=0.965, lr=0.001, test_acc=0.555]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:21<02:54,  2.53s/it, acc=0.965, lr=0.001, test_acc=0.507]
Iter 0 | Epoch 31:  32%|███▏      | 32/100 [01:21<02:52,  2.54s/it, acc=0.965, lr=0.001, test_acc=0.507]
Iter 0 | Epoch 32:  32%|███▏      | 32/100 [01:21<02:52,  2.54s/it, acc=0.965, lr=0.001, test_acc=0.507]
Iter 0 | Epoch 32:  32%|███▏      | 32/100 [01:23<02:52,  2.54s/it, acc=0.963, lr=0.001, test_acc=0.47] 
Iter 0 | Epoch 32:  33%|███▎      | 33/100 [01:23<02:49,  2.53s/it, acc=0.963, lr=0.001, test_acc=0.47]
Iter 0 | Epoch 33:  33%|███▎      | 33/100 [01:23<02:49,  2.53s/it, acc=0.963, lr=0.001, test_acc=0.47]
Iter 0 | Epoch 33:  33%|███▎      | 33/100 [01:26<02:49,  2.53s/it, acc=0.966, lr=0.001, test_acc=0.541]
Iter 0 | Epoch 33:  34%|███▍      | 34/100 [01:26<02:47,  2.54s/it, acc=0.966, lr=0.001, test_acc=0.541]
Iter 0 | Epoch 34:  34%|███▍      | 34/100 [01:26<02:47,  2.54s/it, acc=0.966, lr=0.001, test_acc=0.541]
Iter 0 | Epoch 34:  34%|███▍      | 34/100 [01:28<02:47,  2.54s/it, acc=0.968, lr=0.001, test_acc=0.533]
Iter 0 | Epoch 34:  35%|███▌      | 35/100 [01:28<02:44,  2.53s/it, acc=0.968, lr=0.001, test_acc=0.533]
Iter 0 | Epoch 35:  35%|███▌      | 35/100 [01:28<02:44,  2.53s/it, acc=0.968, lr=0.001, test_acc=0.533]
Iter 0 | Epoch 35:  35%|███▌      | 35/100 [01:31<02:44,  2.53s/it, acc=0.964, lr=0.001, test_acc=0.538]
Iter 0 | Epoch 35:  36%|███▌      | 36/100 [01:31<02:42,  2.54s/it, acc=0.964, lr=0.001, test_acc=0.538]
Iter 0 | Epoch 36:  36%|███▌      | 36/100 [01:31<02:42,  2.54s/it, acc=0.964, lr=0.001, test_acc=0.538]
Iter 0 | Epoch 36:  36%|███▌      | 36/100 [01:33<02:42,  2.54s/it, acc=0.969, lr=0.001, test_acc=0.477]
