wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 9coajnfv
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260707_101946-9coajnfv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.9_pruning_ratio_0.1_delta_t_8
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/9coajnfv
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.9
num_mask_updates: 10000
t_end_ratio: 0.8
pruning_ratio: 0.1
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.9 | total_steps=108000 | t_end=86400 | delta_t=8

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:10<03:09,  2.56s/it, acc=0.96, lr=0.001, test_acc=0.487] 
Iter 0 | Epoch 26:  27%|██▋       | 27/100 [01:10<03:06,  2.55s/it, acc=0.96, lr=0.001, test_acc=0.487]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:10<03:06,  2.55s/it, acc=0.96, lr=0.001, test_acc=0.487]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:12<03:06,  2.55s/it, acc=0.96, lr=0.001, test_acc=0.453]
Iter 0 | Epoch 27:  28%|██▊       | 28/100 [01:12<03:04,  2.56s/it, acc=0.96, lr=0.001, test_acc=0.453]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:12<03:04,  2.56s/it, acc=0.96, lr=0.001, test_acc=0.453]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:15<03:04,  2.56s/it, acc=0.958, lr=0.001, test_acc=0.5] 
Iter 0 | Epoch 28:  29%|██▉       | 29/100 [01:15<03:01,  2.55s/it, acc=0.958, lr=0.001, test_acc=0.5]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:15<03:01,  2.55s/it, acc=0.958, lr=0.001, test_acc=0.5]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:18<03:01,  2.55s/it, acc=0.965, lr=0.001, test_acc=0.467]
Iter 0 | Epoch 29:  30%|███       | 30/100 [01:18<02:59,  2.56s/it, acc=0.965, lr=0.001, test_acc=0.467]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:18<02:59,  2.56s/it, acc=0.965, lr=0.001, test_acc=0.467]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:20<02:59,  2.56s/it, acc=0.966, lr=0.001, test_acc=0.521]
Iter 0 | Epoch 30:  31%|███       | 31/100 [01:20<02:56,  2.55s/it, acc=0.966, lr=0.001, test_acc=0.521]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:20<02:56,  2.55s/it, acc=0.966, lr=0.001, test_acc=0.521]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:23<02:56,  2.55s/it, acc=0.962, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 31:  32%|███▏      | 32/100 [01:23<02:54,  2.56s/it, acc=0.962, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 32:  32%|███▏      | 32/100 [01:23<02:54,  2.56s/it, acc=0.962, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 32:  32%|███▏      | 32/100 [01:25<02:54,  2.56s/it, acc=0.966, lr=0.001, test_acc=0.48] 
Iter 0 | Epoch 32:  33%|███▎      | 33/100 [01:25<02:51,  2.55s/it, acc=0.966, lr=0.001, test_acc=0.48]
Iter 0 | Epoch 33:  33%|███▎      | 33/100 [01:25<02:51,  2.55s/it, acc=0.966, lr=0.001, test_acc=0.48]
Iter 0 | Epoch 33:  33%|███▎      | 33/100 [01:28<02:51,  2.55s/it, acc=0.969, lr=0.001, test_acc=0.48]
Iter 0 | Epoch 33:  34%|███▍      | 34/100 [01:28<02:48,  2.56s/it, acc=0.969, lr=0.001, test_acc=0.48]
Iter 0 | Epoch 34:  34%|███▍      | 34/100 [01:28<02:48,  2.56s/it, acc=0.969, lr=0.001, test_acc=0.48]
Iter 0 | Epoch 34:  34%|███▍      | 34/100 [01:30<02:48,  2.56s/it, acc=0.966, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 34:  35%|███▌      | 35/100 [01:30<02:45,  2.55s/it, acc=0.966, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 35:  35%|███▌      | 35/100 [01:30<02:45,  2.55s/it, acc=0.966, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 35:  35%|███▌      | 35/100 [01:33<02:45,  2.55s/it, acc=0.967, lr=0.001, test_acc=0.513]
Iter 0 | Epoch 35:  36%|███▌      | 36/100 [01:33<02:43,  2.56s/it, acc=0.967, lr=0.001, test_acc=0.513]
Iter 0 | Epoch 36:  36%|███▌      | 36/100 [01:33<02:43,  2.56s/it, acc=0.967, lr=0.001, test_acc=0.513]
Iter 0 | Epoch 36:  36%|███▌      | 36/100 [01:35<02:43,  2.56s/it, acc=0.973, lr=0.001, test_acc=0.543]
Iter 0 | Epoch 36:  37%|███▋      | 37/100 [01:35<02:40,  2.55s/it, acc=0.973, lr=0.001, test_acc=0.543]
Iter 0 | Epoch 37:  37%|███▋      | 37/100 [01:35<02:40,  2.55s/it, acc=0.973, lr=0.001, test_acc=0.543]
Iter 0 | Epoch 37:  37%|███▋      | 37/100 [01:38<02:40,  2.55s/it, acc=0.975, lr=0.001, test_acc=0.472]
Iter 0 | Epoch 37:  38%|███▊      | 38/100 [01:38<02:38,  2.56s/it, acc=0.975, lr=0.001, test_acc=0.472]
Iter 0 | Epoch 38:  38%|███▊      | 38/100 [01:38<02:38,  2.56s/it, acc=0.975, lr=0.001, test_acc=0.472]
Iter 0 | Epoch 38:  38%|███▊      | 38/100 [01:41<02:38,  2.56s/it, acc=0.973, lr=0.001, test_acc=0.506]
Iter 0 | Epoch 38:  39%|███▉      | 39/100 [01:41<02:35,  2.55s/it, acc=0.973, lr=0.001, test_acc=0.506]
Iter 0 | Epoch 39:  39%|███▉      | 39/100 [01:41<02:35,  2.55s/it, acc=0.973, lr=0.001, test_acc=0.506]
Iter 0 | Epoch 39:  39%|███▉      | 39/100 [01:43<02:35,  2.55s/it, acc=0.969, lr=0.001, test_acc=0.516]
Iter 0 | Epoch 39:  40%|████      | 40/100 [01:43<02:33,  2.56s/it, acc=0.969, lr=0.001, test_acc=0.516]
Iter 0 | Epoch 40:  40%|████      | 40/100 [01:43<02:33,  2.56s/it, acc=0.969, lr=0.001, test_acc=0.516]
Iter 0 | Epoch 40:  40%|████      | 40/100 [01:46<02:33,  2.56s/it, acc=0.974, lr=0.001, test_acc=0.503]
Iter 0 | Epoch 40:  41%|████      | 41/100 [01:46<02:30,  2.55s/it, acc=0.974, lr=0.001, test_acc=0.503]
Iter 0 | Epoch 41:  41%|████      | 41/100 [01:46<02:30,  2.55s/it, acc=0.974, lr=0.001, test_acc=0.503]
Iter 0 | Epoch 41:  41%|████      | 41/100 [01:48<02:30,  2.55s/it, acc=0.972, lr=0.001, test_acc=0.523]
Iter 0 | Epoch 41:  42%|████▏     | 42/100 [01:48<02:28,  2.56s/it, acc=0.972, lr=0.001, test_acc=0.523]
Iter 0 | Epoch 42:  42%|████▏     | 42/100 [01:48<02:28,  2.56s/it, acc=0.972, lr=0.001, test_acc=0.523]
Iter 0 | Epoch 42:  42%|████▏     | 42/100 [01:51<02:28,  2.56s/it, acc=0.977, lr=0.001, test_acc=0.533]
Iter 0 | Epoch 42:  43%|████▎     | 43/100 [01:51<02:25,  2.55s/it, acc=0.977, lr=0.001, test_acc=0.533]
