,timestamp,accuracy
362,1783117352.738323,0.6744
363,1783117363.6030948,0.6801
364,1783117374.9971356,0.6785
365,1783117385.9941251,0.6747
366,1783117396.7676823,0.676
367,1783117407.5232618,0.6766
368,1783117418.2635193,0.6835
369,1783117429.3389797,0.682
370,1783117440.342879,0.6844
371,1783117451.7664607,0.677
372,1783117463.083687,0.6784
373,1783117474.0622873,0.681
374,1783117485.148106,0.6723
375,1783117496.1484556,0.6804
376,1783117507.1492615,0.6788
377,1783117518.0846913,0.6794
378,1783117529.1554902,0.6773
379,1783117540.16211,0.6705
380,1783117550.9270797,0.682
381,1783117561.9351103,0.6798
382,1783117573.5717072,0.6774
383,1783117585.6250672,0.6683
384,1783117596.6344817,0.6768
385,1783117607.6103547,0.6775
386,1783117618.661944,0.6802
387,1783117629.6191413,0.6779
388,1783117640.6228297,0.6805
389,1783117651.4524279,0.6838
390,1783117662.4620996,0.683
391,1783117673.318455,0.6854
392,1783117684.258076,0.6736
393,1783117696.1440792,0.6782
394,1783117707.3093514,0.6708
395,1783117718.429237,0.6783
396,1783117729.411277,0.6696
397,1783117741.3813722,0.6818
398,1783117752.6699762,0.6814
399,1783117763.4849935,0.6795
400,1783117780.112926,0.6939
401,1783117792.8780618,0.6993
402,1783117806.6729765,0.7019
403,1783117819.4082475,0.6995
404,1783117832.330128,0.6998
405,1783117845.2352924,0.7027
406,1783117859.1297734,0.7019
407,1783117873.0154614,0.7014
408,1783117885.889525,0.7025
409,1783117898.6760929,0.7041
410,1783117911.3896933,0.7025
411,1783117924.2208745,0.7035
412,1783117937.0354848,0.7036
413,1783117950.9922163,0.7037
414,1783117965.1389496,0.7036
415,1783117978.9180322,0.7028
416,1783117992.9573157,0.7035
417,1783118005.9191265,0.7034
418,1783118019.13551,0.7032
419,1783118032.254278,0.7021
420,1783118044.997941,0.703
421,1783118058.1235032,0.7019
422,1783118071.4621224,0.7007
423,1783118084.2591918,0.7025
424,1783118096.8992934,0.7033
425,1783118109.58635,0.7014
426,1783118122.2742136,0.7021
427,1783118135.0953026,0.6667
428,1783118147.7768555,0.6953
429,1783118160.4405968,0.7003
430,1783118173.2100081,0.6968
431,1783118186.5481231,0.7072
432,1783118200.6369393,0.6955
433,1783118214.6260815,0.7028
434,1783118227.5815818,0.6976
435,1783118240.3587189,0.6962
436,1783118253.3672733,0.7088
437,1783118267.4273682,0.7007
438,1783118281.4163766,0.6923
439,1783118294.202488,0.6994
440,1783118306.9686832,0.7092
441,1783118319.7924938,0.7057
442,1783118332.6338868,0.7005
443,1783118345.3343585,0.7033
444,1783118358.9572206,0.7022
445,1783118371.6820667,0.6912
446,1783118384.4644961,0.7035
447,1783118397.254333,0.7005
448,1783118410.8525305,0.7059
449,1783118424.0591085,0.6995
450,1783118437.0515764,0.7058
451,1783118450.1800842,0.7058
452,1783118464.1854832,0.7091
453,1783118477.2138495,0.7119
454,1783118490.2965724,0.7112
455,1783118503.4433954,0.7145
456,1783118516.5141764,0.7148
457,1783118529.637326,0.7146
458,1783118542.7518313,0.7147
459,1783118555.828777,0.7146
460,1783118568.9028192,0.7153
461,1783118581.7734015,0.7155
462,1783118594.5729785,0.7167
463,1783118607.4744935,0.7149
464,1783118620.3369706,0.7162
465,1783118633.0781233,0.7143
466,1783118645.976893,0.7129
467,1783118658.6857913,0.7131
468,1783118671.4959013,0.7146
469,1783118684.6142812,0.7162
470,1783118698.3409653,0.7163
471,1783118711.150952,0.7157
472,1783118723.8618271,0.7175
473,1783118736.6945102,0.7148
474,1783118750.3289833,0.7165
475,1783118763.1325285,0.7164
476,1783118775.9218855,0.7167
477,1783118788.8499637,0.7165
478,1783118801.712151,0.7172
479,1783118814.42439,0.7157
480,1783118827.1361418,0.718
481,1783118840.1145883,0.7164
482,1783118852.7688036,0.7155
483,1783118866.4211864,0.7172
484,1783118880.4279132,0.7182
485,1783118893.574248,0.7179
486,1783118906.4398046,0.7159
487,1783118919.2841241,0.7174
488,1783118932.1059651,0.7177
489,1783118944.8251996,0.7172
490,1783118957.5947013,0.7164
491,1783118970.3419082,0.7172
492,1783118983.229161,0.7175
493,1783118996.0319753,0.7182
494,1783119008.705529,0.7172
495,1783119022.140041,0.7177
496,1783119035.133786,0.7186
497,1783119049.199491,0.718
498,1783119062.6892269,0.718
499,1783119076.6621964,0.7178
500,1783119096.4306471,0.7259
501,1783119111.666338,0.7322
502,1783119126.938235,0.7306
503,1783119142.225792,0.7289
504,1783119157.473387,0.7295
505,1783119172.6047819,0.7287
506,1783119187.6057434,0.7274
507,1783119202.5932329,0.7259
508,1783119218.7438104,0.7247
509,1783119235.0353966,0.7043
510,1783119250.5539129,0.7062
511,1783119265.4237015,0.7161
512,1783119280.6501756,0.7136
513,1783119295.4771109,0.7175
514,1783119310.827463,0.7167
515,1783119326.5241702,0.7194
516,1783119341.5497618,0.7176
517,1783119356.695716,0.7138
518,1783119371.56168,0.7182
519,1783119386.3036041,0.714
520,1783119401.7006123,0.7185
521,1783119417.1559527,0.7176
522,1783119432.023791,0.7242
523,1783119446.7649772,0.7159
524,1783119461.5843363,0.7144
525,1783119476.3946633,0.7129
526,1783119491.3187876,0.7207
527,1783119506.1173115,0.7123
528,1783119521.071009,0.7162
529,1783119536.0356884,0.7191
530,1783119551.0349655,0.7154
531,1783119565.913992,0.7218
532,1783119580.827462,0.7231
533,1783119595.699953,0.7181
534,1783119610.8305194,0.7213
535,1783119625.6182594,0.718
536,1783119640.5466754,0.7227
537,1783119655.362079,0.7128
538,1783119670.2516458,0.7237
539,1783119685.030341,0.7235
540,1783119699.8326387,0.7248
541,1783119714.7871006,0.7193
542,1783119730.5180104,0.7204
543,1783119745.2336485,0.7178
544,1783119760.012105,0.7174
545,1783119774.704748,0.7238
546,1783119789.4768355,0.7263
547,1783119804.1608427,0.7228
548,1783119818.9629729,0.7193
549,1783119833.7848158,0.723
550,1783119848.6777503,0.724
551,1783119863.3813527,0.7242
552,1783119878.1409867,0.7218
553,1783119892.6927762,0.7244
554,1783119907.4787202,0.7178
555,1783119922.2949617,0.7255
556,1783119938.1577888,0.7212
557,1783119953.351826,0.7274
558,1783119968.1409702,0.7282
559,1783119982.6751685,0.7222
560,1783119997.4547489,0.7213
561,1783120012.3041968,0.7171
562,1783120027.2240844,0.7197
563,1783120042.0826814,0.7221
564,1783120056.9238684,0.7152
565,1783120071.7355142,0.7252
566,1783120086.5051975,0.7252
567,1783120101.6698875,0.7233
568,1783120117.7388222,0.7224
569,1783120132.5336738,0.7254
570,1783120147.3104079,0.7252
571,1783120162.1683152,0.7196
572,1783120176.9870472,0.7229
573,1783120191.6913068,0.7267
574,1783120206.391885,0.7188
575,1783120221.0637236,0.7226
576,1783120235.7346406,0.7292
577,1783120250.3353155,0.721
578,1783120265.817593,0.7254
579,1783120281.8858492,0.7293
580,1783120296.9437497,0.7277
581,1783120311.7212117,0.7288
582,1783120326.570437,0.7315
583,1783120341.3655887,0.7259
584,1783120356.2966118,0.7268
585,1783120371.1584013,0.7255
586,1783120385.9236248,0.7245
587,1783120400.722881,0.7251
588,1783120415.484526,0.7253
589,1783120430.3348477,0.7279
590,1783120445.2045655,0.733
591,1783120459.87395,0.7342
592,1783120474.7737982,0.7326
593,1783120490.733368,0.7311
594,1783120505.683886,0.724
595,1783120520.5195942,0.7292
596,1783120535.3679585,0.722
597,1783120550.3643956,0.7275
598,1783120565.3385513,0.7288
599,1783120580.210767,0.7193
600,1783120601.9636312,0.7381
601,1783120618.4448018,0.7434
602,1783120635.129787,0.7447
603,1783120651.728242,0.7421
604,1783120668.416607,0.7413
605,1783120685.2576869,0.7413
606,1783120701.887942,0.7414
607,1783120718.5721493,0.7436
608,1783120735.222433,0.7429
609,1783120751.849051,0.7439
610,1783120768.7185457,0.7435
611,1783120785.4105322,0.743
612,1783120802.1249816,0.7435
613,1783120819.3821428,0.7433
614,1783120837.2724712,0.7445
615,1783120854.0280905,0.7435
616,1783120870.7188072,0.7419
617,1783120887.561071,0.7422
618,1783120905.0515366,0.743
619,1783120921.8806684,0.7413
620,1783120939.0872273,0.7417
621,1783120956.481839,0.7431
622,1783120973.2822516,0.7427
623,1783120990.3872263,0.7456
624,1783121006.9906774,0.7447
625,1783121024.1971068,0.7438
626,1783121040.9040194,0.7439
627,1783121058.0101004,0.7458
628,1783121074.9301474,0.7433
629,1783121091.903037,0.7442
630,1783121110.2471728,0.7436
631,1783121127.4271903,0.7434
632,1783121144.5866437,0.7425
633,1783121161.8008742,0.7426
634,1783121178.9284675,0.7449
635,1783121196.1481366,0.744
636,1783121213.2513645,0.7443
637,1783121230.4897738,0.7447
638,1783121247.2880037,0.746
639,1783121265.1830792,0.7446
640,1783121282.8016994,0.7456
641,1783121299.6828816,0.7433
642,1783121316.497952,0.7443
643,1783121333.163991,0.7438
644,1783121349.9081392,0.742
645,1783121366.7393796,0.744
646,1783121383.8564262,0.7458
647,1783121400.6165588,0.7443
648,1783121417.2016544,0.7473
649,1783121433.857176,0.7461
650,1783121450.5820343,0.7443
651,1783121467.3881254,0.7443
